"id","name","surf_km2","pop_res_perm_22","surf_km2_sbd3d","dens_hab_km2","dens_hab_km2_sbd3d","diff"
6177,"Grengiols",58.53,419,58.5187448270535,7.15872202289424,7.16009889204415,-0.00137686914990809
6181,"Riederalp",19.05,427,19.0920272497142,22.4146981627297,22.3653567227332,0.0493414399964607
6191,"Ausserberg",15.17,630,15.1297823819678,41.529334212261,41.6397264742458,-0.110392261984735
6192,"Blatten",90.53,298,90.5116394830173,3.29172649950293,3.29239423462121,-0.000667735118286661
6193,"Bürchen",13.47,750,13.4691824671814,55.6792873051225,55.6826668454026,-0.00337954028012888
6194,"Eischoll",14.06,445,14.0946695744824,31.6500711237553,31.5722193875085,0.0778517362467959
6195,"Ferden",27.91,251,27.9177238257998,8.99319240415622,8.99070431265035,0.00248809150586737
6197,"Kippel",11.68,324,11.6826248500856,27.7397260273973,27.7334934706583,0.00623255673894363
6198,"Niedergesteln",17.69,743,17.6221478661843,42.0011305822499,42.1628512961105,-0.161720713860682
6199,"Raron",30.31,1955,30.3763366316064,64.5001649620587,64.3593078293,0.140857132758782
6201,"Unterbäch",22.12,485,22.0843097357171,21.9258589511754,21.9612931444992,-0.035434193323745
6202,"Wiler (Lötschen)",14.88,554,14.8652781462574,37.2311827956989,37.2680547615236,-0.0368719658246874
6203,"Mörel-Filet",8.49,720,8.54601910199168,84.8056537102473,84.2497531783192,0.555900531928174
6204,"Steg-Hohtenn",14.05,1711,14.0307379781014,121.779359430605,121.946543558183,-0.167184127578125
6205,"Bettmeralp",28.78,463,28.7904845151175,16.0875608061154,16.0817022637075,0.00585854240787498
6211,"Collonges",12.23,843,12.206901035576,68.9288634505315,69.0592966669549,-0.130433216423441
6212,"Dorénaz",12.54,1086,12.5808624411012,86.6028708133971,86.3215860664749,0.281284746922267
6213,"Evionnaz",48.07,1416,48.0785176654579,29.4570418140212,29.4518231583776,0.0052186556436169
6214,"Finhaut",22.79,363,22.8254571763337,15.9280386134269,15.9032959206781,0.0247426927488572
6215,"Massongex",6.63,1984,6.63650046298987,299.245852187029,298.952740388444,0.293111798584391
6217,"Saint-Maurice",14.89,4540,14.9207027555536,304.902619207522,304.275212393073,0.627406814448534
6218,"Salvan",53.41,1469,53.4569830838601,27.504212694252,27.4800393747534,0.024173319498626
6219,"Vernayaz",5.65,1812,5.59236346816135,320.70796460177,324.013274587059,-3.30530998528906
6220,"Vérossaz",14.35,866,14.2895757982836,60.3484320557491,60.6036184855832,-0.255186429834076
6232,"Chalais",24.36,3759,24.3434152528559,154.310344827586,154.41547379261,-0.105128965023908
6235,"Chippis",1.98,1556,1.97190355493945,785.858585858586,789.085245118786,-3.22665926019988
6238,"Grône",20.69,2545,20.7281381402979,123.006283228613,122.779961363352,0.226321865260914
6239,"Icogne",24.94,636,24.8254067133592,25.5012028869286,25.6189156271809,-0.117712740252312
6240,"Lens",14.01,4406,13.9795488821778,314.489650249822,315.174691052949,-0.685040803127492
6246,"Saint-Léonard",3.88,2548,3.88506112620173,656.701030927835,655.845536847724,0.85549408011093
6248,"Sierre",19.15,17295,19.1287604285187,903.13315926893,904.135950922111,-1.00279165318113
6252,"Anniviers",243.39,2703,243.368736044546,11.105632934796,11.1066032717746,-0.000970336978568298
6253,"Crans-Montana",59.57,10271,59.655520018494,172.419002853785,172.171829141978,0.247173711807392
6254,"Noble-Contrée",6.48,4635,6.49858332899393,715.277777777778,713.232371634075,2.04540614370296
6261,"Arbaz",19.19,1390,19.169732064305,72.4335591453882,72.5101423085747,-0.0765831631864415
6263,"Grimisuat",4.44,3774,4.44956080849818,850,848.17359789579,1.82640210420993
6265,"Savièse",70.98,8097,70.9747310685515,114.07438715131,114.082855659988,-0.00846850867735327
6266,"Sion",34.76,35650,34.8611553384785,1025.60414269275,1022.62818469045,2.9759580023026
6267,"Veysonnaz",1.17,594,1.14391580311937,507.692307692308,519.26898673854,-11.5766790462325
6281,"Baltschieder",31.17,1355,31.2245154359152,43.4712864934232,43.3953892024677,0.0758972909554529
6282,"Eisten",37.94,189,38.0071841290177,4.98154981549816,4.97274408328772,0.00880573221043246
6283,"Embd",13.35,286,13.3898078653243,21.4232209737828,21.3595297913614,0.0636911824213655
6285,"Grächen",14.26,1271,14.2719764217758,89.1304347826087,89.055640398953,0.0747943836556857
6286,"Lalden",1.28,706,1.30113491468455,551.5625,542.603224332939,8.95927566706087
6287,"Randa",54.46,440,54.525976173697,8.07932427469703,8.06954833047544,0.00977594422158923
6288,"Saas-Almagell",110.52,360,110.423528212608,3.25732899022801,3.26017476372302,-0.00284577349500736
6289,"Saas-Balen",30.31,368,30.2403210179579,12.1412075222699,12.1691829852424,-0.027975462972476
6290,"Saas-Fee",40.32,1561,40.311985176483,38.7152777777778,38.7229751441427,-0.00769736636495821
6291,"Saas-Grund",24.75,1005,24.794913870805,40.6060606060606,40.5325061920601,0.0735544140005544
6292,"St. Niklaus",89.31,2242,89.2351982332645,25.1035718284627,25.1246149993338,-0.0210431708711276
6293,"Stalden (VS)",10.6,1103,10.5047250511557,104.056603773585,105.000368370293,-0.943764596708561
6294,"Staldenried",14.23,566,14.2729953687211,39.7751229796205,39.6553060782443,0.11981690137619
6295,"Täsch",58.71,1333,58.7222780806578,22.7048203031851,22.7000730143517,0.00474728883340347
6296,"Törbel",17.5,497,17.5094350380495,28.4,28.384696531897,0.0153034681029958
6297,"Visp",13.19,8305,13.1976318568857,629.64366944655,629.279562428997,0.36410701755392
6298,"Visperterminen",51.61,1310,51.629362762186,25.3826777756249,25.3731584105365,0.00951936508839779
6299,"Zeneggen",7.53,312,7.55870685204627,41.4342629482072,41.27690173823,0.157361209977147
6300,"Zermatt",242.86,5746,242.848889587067,23.6597216503335,23.6608040900262,-0.00108243969267363
